Run,A.util,A.cost,B.util,B.cost,C.util,C.cost,D.util,D.cost,E.util,E.cost,F.util,F.cost
0,44.10060049,687.9278953,47.13926448,1098.246877,41.44517533,660.212832,39.33234153,806.5772232,45.81748216,747.261681,46.42375809,956.9218705
1,43.69909398,668.4903305,47.04650802,1075.273385,41.44224143,632.6449275,39.70030301,785.6756261,45.66128041,725.7197424,46.40346055,931.20994
2,44.08338769,718.4396502,47.2306682,1104.907208,41.50885889,670.1386107,39.0427321,828.6944883,46.05368895,749.859616,46.49546084,969.6165424
3,44.36653264,645.8159131,47.0940482,1102.523899,41.45522453,655.6658361,39.28820814,785.8759586,45.65841555,747.4986327,46.65663539,936.1902572
4,43.91306615,713.0501329,47.19048146,1089.489094,41.53378957,663.7989353,39.49267843,813.2877561,45.71724917,754.7090232,46.45059531,953.2541244
5,43.26641551,753.469696,46.97635175,1114.09995,41.02469654,670.9919372,38.92897291,815.1064427,45.69752255,753.9413827,46.21330182,967.0389346
6,43.87462275,704.429298,46.98445613,1120.825543,41.67766759,653.0298548,39.63173258,791.8753316,45.77912162,750.917322,46.52964431,954.2646421
7,43.4794786,704.0370393,46.97533443,1088.590082,40.54972792,678.3253843,39.41346251,790.7781951,45.30881852,761.1517321,46.11787748,954.3080194
8,44.03117803,669.3084701,47.16065332,1106.592591,41.60270563,635.5802037,39.63919032,783.935605,45.93805409,723.3423197,46.8803338,924.6965362
9,43.32417858,813.7463662,47.20160878,1110.105319,40.70266709,740.0327834,39.73443501,832.9174465,45.43336217,815.5509306,46.36461622,987.9614392
10,44.13659464,698.3937924,47.23087497,1115.498812,40.967385,689.0981188,38.95136872,807.0290853,45.72048599,765.8167791,46.61756556,957.4375543
11,43.7797769,713.6382739,47.26215528,1091.161299,41.46441305,666.2108855,40.06649565,790.2144733,45.77489861,753.5762265,46.35823515,965.3541483
12,43.4067184,758.8246262,46.870726,1115.429081,40.84120468,719.5659869,39.00791597,821.28661,44.98600622,817.7406277,45.94622835,989.8428782
13,44.24616889,652.8521891,46.95590419,1095.210983,41.20301199,648.9313036,38.84307156,809.7543569,45.74916176,733.429618,46.62309702,930.0890134
14,43.38534629,758.3800826,47.07566748,1093.101843,41.45702425,674.5750883,39.6983889,809.0053358,45.56702044,769.8619313,46.33484654,963.3072115
15,44.24076012,670.7108725,47.51141061,1060.547669,41.23542549,653.7486131,39.44889288,790.8192036,46.14536466,722.8370581,46.62258524,946.5606223
16,43.40975712,734.3465553,46.95940309,1094.712681,41.74879525,635.4199707,39.28390428,803.159755,45.74913081,740.5259168,46.16437516,959.6258447
17,43.72007477,730.4126034,46.9582144,1100.409222,41.04516384,685.4877022,39.35294271,816.5449535,45.49620898,776.1317916,46.00155612,983.4041966
18,44.46321615,651.7743619,47.35209832,1080.962169,41.05060302,658.799136,40.31120714,778.5472207,46.02826931,728.8741777,46.38032681,959.5188995
19,44.23776838,655.4590293,47.1146247,1109.053552,41.88049348,623.1527087,39.42373967,796.1421946,46.06232199,714.4204169,46.34666085,953.1804734
20,43.38553229,717.8307551,46.97187521,1128.371406,42.04795286,619.5233378,39.83347531,782.2035557,46.1193014,715.5158324,46.25335086,960.7740327
21,43.59503818,702.0895111,47.06202109,1090.408517,41.06205038,662.4324057,38.79928103,822.1636762,45.66258014,743.0823713,46.12387481,961.3005671
22,43.17215081,778.0034863,47.15289623,1079.908365,41.6586184,652.4102432,38.31037036,830.7560849,45.90504161,739.2174127,46.27118113,962.191882
23,43.59903028,689.1895675,47.04116601,1109.33844,40.75484902,669.2307202,39.26160975,796.6433936,45.36980664,754.3545708,46.19345264,953.5622869
24,44.2108437,681.1031249,47.22607363,1100.985283,41.75609675,647.3162144,39.39241417,795.9095707,46.02841355,731.9493292,46.41262792,961.3284604
25,43.66126517,702.58553,47.05513088,1112.526625,41.57692392,645.3759216,39.34226018,799.8308924,45.83322031,736.8073528,46.49216148,948.3941395
26,43.76950889,678.5349612,46.9860621,1078.998901,41.36356704,646.1302987,38.91498615,798.2672831,45.56362001,741.2828515,46.05476181,955.3491
27,44.21157059,703.4355924,47.03511693,1123.613094,40.50042993,726.6917933,39.07902722,815.0302496,45.31700544,803.8185811,46.6096983,955.2737567
28,43.68080481,732.8007672,47.07094727,1109.343448,41.75790148,650.7530887,39.57581503,806.1567806,45.94416616,742.2266923,46.49674276,954.6787005
29,44.26539087,705.6702577,47.19528781,1122.040678,41.88775607,652.7870752,38.08681336,852.2233788,46.13546139,741.664396,46.5540903,966.1010554
30,43.64094073,706.9107972,47.24421347,1072.078876,41.09045579,662.7074388,39.89266728,789.0267292,45.68796321,742.2249127,46.49489925,941.1128421
31,44.3298852,659.2899402,46.96079548,1112.983474,41.74836538,653.2051852,39.85022617,804.3545216,45.74482655,749.332834,46.41339964,955.5840825
32,43.76812885,692.4213487,47.09331568,1081.736813,41.11868506,658.4688525,39.68710138,790.9689642,45.71890101,740.1580052,46.17921671,956.9408515
33,44.63285921,652.4186763,47.12577259,1132.141989,41.79950694,655.6176233,38.46072955,821.1534441,46.02528733,745.4065222,46.69540634,955.904083
34,45.08566365,620.1033946,47.1224598,1124.098973,41.33834309,665.9580459,39.36401786,810.184806,46.00939951,745.9419671,46.4154827,971.1439809
35,43.83878391,750.6367424,47.03041431,1095.639423,41.3638619,686.3164791,38.69190538,841.8526108,45.65958943,779.0620411,46.13708788,985.4028709
36,44.43790135,708.6626075,47.22160797,1132.527909,41.47311613,699.8120476,39.54842765,822.9949678,45.88596604,783.2183008,46.55581186,981.4822295
37,44.09124776,731.8321858,47.46697616,1079.858746,40.63738696,742.1982858,39.63690484,807.9157919,45.30244715,818.5062544,46.82089716,949.1002044
38,44.028383,708.3212856,47.14870606,1109.773662,40.77530296,710.5474081,39.43724822,800.1843912,45.40636225,791.0336903,46.66503164,951.7583274
39,43.64727169,748.3017225,46.73521981,1146.886674,40.85779952,713.5816787,39.48949383,810.1919513,45.27536599,804.2378459,46.54454572,956.6393355
40,44.0507583,684.2272412,47.10765146,1089.905782,41.2773881,658.8339338,39.37449832,805.6386037,45.79197344,742.5127539,46.35089138,954.149279
41,44.59816074,630.6606861,46.9529326,1118.48929,40.94551467,671.1949381,39.44091592,797.8566403,45.55296646,757.8945027,46.35187543,955.9818523
42,44.33316781,725.0424738,47.19315323,1119.916725,41.57479013,692.3189785,39.81690008,807.2549978,45.86810391,776.8538399,46.52907563,974.098671
43,44.63658889,690.6884119,47.37657927,1117.709162,40.79645358,743.1033855,40.72553025,796.8629442,45.5126674,816.6582396,46.78113895,967.865059
44,44.09181382,699.7296176,47.13960289,1098.921758,41.06552219,687.2969221,39.06099766,812.5047234,45.61775229,770.0392979,46.44326561,960.9355956
45,44.16225545,668.970154,47.16588516,1080.208674,41.28970596,646.6158579,38.88736936,818.4403146,45.98003686,724.8483921,46.17794427,962.8712081
46,44.08476563,671.6147567,47.12709326,1133.718552,42.05613611,621.1143001,39.30686789,794.7743333,46.30687374,706.7568188,46.71149157,941.8747785
47,44.21537943,701.299422,47.43070427,1074.212654,41.01781566,689.2963762,38.87743505,821.401045,45.89779447,759.7504755,46.63298796,960.1612519
48,44.70617035,654.6842158,47.51869001,1093.603399,41.32519635,671.7145031,40.29905722,801.5330692,46.13742436,743.1206331,47.06316589,938.0437627
49,43.90355072,687.6538779,47.30843128,1067.195672,41.84706407,634.9632459,39.12681103,808.4458224,45.9411967,724.8223051,46.41310807,947.0167306
50,44.4010399,691.2261316,47.39063436,1089.73656,41.64395122,683.5638284,38.99206221,808.5567339,45.73917725,774.3673717,46.51718237,967.6435401
51,44.09022987,689.7864289,47.10803953,1093.324181,41.28726202,669.6046283,39.17404906,813.9979663,45.63186219,761.6280735,46.39580022,959.8710214
52,44.5578293,632.7713513,47.23104713,1080.309228,41.55512575,638.5375262,39.21354605,802.5275618,46.01831454,721.5804167,46.56496327,939.8364477
53,43.92863927,722.0848802,47.22705165,1099.589556,41.22813161,669.7879418,38.85616573,814.2647556,45.91018479,748.8871526,46.39063451,966.3987742
54,44.77434652,627.2367938,47.36384106,1068.559093,41.95970692,634.9417548,39.90876263,797.3929906,46.07928099,725.8412664,46.58136941,946.4847704
55,44.63822525,623.1105549,47.50192181,1071.275914,41.67511282,633.549671,40.44352913,779.5192194,46.16469656,712.7686294,46.83994369,929.4196763
56,43.6568757,734.5236181,46.85053389,1112.992873,40.84008849,683.4493002,40.08690294,800.3752494,45.66710376,760.8400688,46.31879766,961.0573401
57,43.64411695,756.3360595,46.8813352,1137.333087,41.32138327,686.5023838,39.52643955,831.0031655,45.80729007,770.1655507,46.35939665,975.8032905
58,44.44032884,656.3367475,47.03022118,1135.066528,41.30035646,661.5602637,39.8446208,785.7420879,45.87039711,745.37361,46.47280166,959.3926198
